동,X좌표,Y좌표
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,10
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제2동,208271.6033,450338.3174
구의제2동,208280.078,450321.2
구의제2동,208285.5527,450339.497
구의제2동,208299.8158,450350.4464
구의제2동,208361.4783,450407.7867
구의제2동,208364.2156,450411.3885
구의제2동,208358.4528,450404.329
구의제2동,208339.1472,450352.0312
구의제2동,208323.6935,450264.6339
구의제2동,208327.5123,450266.5433
구의제2동,208332.1268,450268.771
구의제2동,208336.7412,450270.3622
구의제2동,208349.3115,450274.8175
구의제2동,208355.6762,450276.4087
구의제2동,208363.3139,450277.9998
구의제2동,208374.1339,450279.2728
구의제2동,208380.3395,450279.7501
구의제2동,208385.2721,450280.0684
구의제2동,208391.3186,450279.4319
구의제2동,208398.638,450279.1137
구의제2동,208417.1036,450276.3154
구의제2동,208433.5087,450270.6571
구의제2동,208437.1951,450269.369
구의제2동,208441.2204,450267.6222
구의제2동,208445.9293,450265.8754
구의제2동,208450.3343,450263.445
구의제2동,208454.2837,450261.4703
구의제2동,208434.2822,450243.6416
구의제2동,208278.9,450196.4221
구의제2동,208282.1253,450192.5294
구의제2동,208294.1369,450176.514
구의제2동,208297.4735,450173.1774
구의제2동,208347.9666,450109.0044
구의제2동,208340.5108,450118.3512
구의제2동,208356.9753,450131.6129
구의제2동,208360.0183,450135.4566
